round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
218,506.85244374988093,398.2070152266827,205.89006331846338,336.0335960176124,0.8922078768771954,101.84204801030879
219,247.7563256468937,34.23147572808893,90.31665942879759,122.98492422867776,2.2914195068627077,3.6670309307589835e-07
220,50.156984365932566,170.84617059809287,57.91518382284342,173.4650872364136,90.14635789521093,220.8997354561944
221,41.14040876970239,91.71557967679874,182.4538388040764,111.1449039314487,0.3895430032058696,63.89489854714815
222,75.99259143786804,218.65959660266262,31.671952498131205,62.25252577395868,2.247700616505117,2.7066872605737586
223,108.97540425376387,119.32087579338928,105.13488658303432,59.33020642130061,0.6763632384372795,219.10846134629162
224,179.12224997018663,80.75891116433341,159.3485067055928,149.8402584795385,1.6077594934720107,3.798682731704905
225,47.41703849948743,91.58788704797567,205.96692811982615,99.20973712938041,0.8810462490681811,3.5003964762674056e-07
226,8.74019494275324,165.5803135669782,32.595181885949636,104.7914430294458,1.5742527484369628,101.13178741657016
227,36.44700666666695,103.9382085456662,50.505344604415434,207.52008729346778,4.27760456408973,38.46334763713213
228,24.898455074432377,41.37184587872645,146.01782760076975,52.30687286264817,9.675421599232074,35.571777995339794
229,117.9101154496727,235.24599878478003,102.54764872142914,98.03890840993542,1.5285479372581292,47.52120566847086
230,9.134527945189376,28.741259391541035,60.09184445563246,248.47345915433397,0.49881637106625965,25.63350788761059
231,166.98863855323398,221.40615727670217,46.007067768713775,63.837125740403756,7.027610917655799,1.7985207928034197
232,89.75077782926283,274.4095429958714,73.1387493652458,55.586658216022634,0.7005529692313456,38.304695638822515
233,18.575047741527186,45.808725690407684,61.847800379488426,148.83879444240458,2.072820873241468,11.919847020778572
234,191.8944643767578,325.46887477629804,27.968818791805546,143.10056589821755,2.058682929084436,18.179495655087564
235,14.899062589068253,59.22138817188777,117.85185005412022,76.21407392166768,1.1438737794940905,3.367291527669019e-07
236,461.512924451897,154.31877290557728,67.92486900634171,47.34228448068106,8.958787349898367e-08,3.5056494163206563e-07
237,144.31481599278482,90.58593102075592,7.753850429586967,206.86267585399855,7.195736297836765,87.11934024902843
238,28.56322909097591,48.649984693612026,105.16375376417074,65.5733216635169,58.36434353321982,79.25817273097529
239,154.91974995024756,217.9157297263264,64.37748504402181,122.56306639013832,1.764203275092892,33.484366394640354
240,117.15193130335463,151.86549164771267,55.523123400206266,356.40638054528824,3.0294509205176556,3.4663758891641593e-07
241,51.857616686444935,9.486101437561908,55.058680766779645,94.99713037218409,1.2539747599841686,13.459957402048968
242,71.32368398071016,6.705761434062691,82.77177621993138,169.7413451162421,1.746222205016786,102.04212362289807
243,69.28676942502358,4.969570112759624,182.87452546129066,172.73746057783606,91.94514081404598,37.822519808441314
244,64.76446819551855,229.4431366175009,83.7504696255568,94.67193917461316,1.3732546857678796,107.48357716600636
245,100.90094430905243,16.975997394166907,83.87279959332929,42.92823803929219,14.018488245003901,25.312891795293336
246,12.691868720863074,55.85204643475527,18.16417373798521,6.56230293826158,2.910874183754485,43.61481314411524
247,25.429042942393917,87.97201186065908,161.59798175759994,35.36219677873759,1.7497576247724513,54.67149438042039
248,94.8424018229378,37.5181039302007,31.899698065512524,80.50252894431149,0.43274756714468987,17.88652709841282
249,86.81723811906973,22.254938217429725,217.99157321540187,135.8509356746753,2.75389058629129,97.17166621117231
250,27.839709852537226,16.82600536943188,31.425299346847993,75.8989453594024,8.346482075532531e-08,11.569318641854785
251,52.41943734321028,30.62379856517735,24.48575792555674,34.09126343299065,0.8811868027731624,10.816030604547764
252,3.1613286306608437,58.7558672192657,33.019980745474,99.62799738057143,8.074775977634133e-08,4.059193804754269
253,131.06074985205166,23.195324402113197,44.18837474582567,49.25052990280087,21.163764352376447,50.27932586692071
254,53.44583074158115,53.92697425469192,114.50004220078375,37.29720848714267,0.2983295270603584,49.03324461508327
255,142.09821904880874,56.82495712129909,67.5513771357701,96.38743538081755,1.1778407689210046,23.11403870458971
256,64.23889921265916,158.75558389148088,19.621379521251182,106.07584844921712,7.105266560477195,44.70802766691734
257,103.95768898771341,41.522726460463815,116.81762048992076,136.51392461008243,2.085830725083128,53.668715026757525
258,27.058121964175122,65.06692524985706,121.9730310259465,284.20825131424505,11.339700710137254,5.7656586149166325
259,116.46268384132955,41.43048614470203,29.4369645243739,168.41355023120366,7.456886458933898e-08,43.695961124487546
260,104.90884953043715,64.39795136664898,56.6899074375624,97.40228771021577,0.9361391196991997,177.87448905882434
261,120.66136273507195,99.06453501360585,51.654877223597936,58.48661867008302,1.7468704908856223,47.600610090798035
262,114.48135200635807,136.57391690255153,81.79841708570542,202.10865719765513,2.197892842391088,42.39884035348096
263,88.24508838362881,69.94797038127301,150.13172843137886,96.98342458221057,4.313857333683861,29.117594200433306
264,48.957790241059804,69.04286153076394,149.89174969408305,69.7890109435184,0.5404113039171752,11.738329994949089
265,67.80625069695797,27.896875355283463,16.574704752176466,217.52339769943868,0.48301983088312545,124.6224261047355
266,161.0909584351621,20.261110509377403,85.11439121523574,92.73277691973719,2.0294006962130546,31.817059331271416
267,90.67840410908335,56.98907617262661,97.17002403992916,124.30249409500578,1.5344157456093805,19.40093032165025
268,68.33352717535752,63.603932258562246,28.498644564701568,60.284424368777024,1.0850186757868152,62.28709499533057
269,86.96079503686586,152.87801531170123,49.13597046344547,174.79860856816916,7.748992678687005e-08,9.322079786586404
270,135.56038216865664,24.34296715301861,96.40994314814122,96.82807969384702,1.2106003726570878,41.43996972553376
